1995,TRMNVGT12903CE5961,The Infinity Project,The Answer
1996,TRVDLQY128F4267740,Shazz,Le Marais
1966,TRQKGZV128F14962F2,Stevie Wonder,Sixteen Tons
1986,TRMLTMB128F4230BB9,Stephan Micus,Part IV - Sho Solo [Ocean]
1993,TRXGZUY128EF3531CC,Bill Murk,Wayfarin' Stranger
1970,TRNSHLB128F428C232,Roger Kellaway,Jorjana #2
2003,TROHQWY128F427A8F4,Gilli Moon,Damaged or Broken
1995,TRSORJN12903D053C8,The Haunted,An act of leisure
1993,TRKXFPU128F145C1CF,ARRESTED DEVELOPMENT,The Gettin' (Live) (Unplugged)
2000,TRBDHBY128F4228DDC,Nils Petter Molvaer_ Elvind Aarset_ Audun Erlien_ Per Linvall_ Rune Arnesen,Vilderness 2
1993,TRQAZYG128E0792AF5,The Orb,Valley
1999,TRXNAXU128F935737D,Miles Hunt,Caught In My Shadow
1993,TRYKDAN128F14A8D06,Saint Etienne,Date With Spelman (Album Version)
2002,TRENCTX128F4295B20,Ezkimo,Entinen
2001,TRGUMRG128F423EC9C,Lupine Howl,Sniff The Glue
2003,TRLHNRJ128F42AB912,Naer Mataron,Salvatores Dei
2008,TRCMMZF128F9311180,Housse De Racket,Synthétiseur
1990,TRAFTJB128F931919E,Bill Douglas,Highland
1993,TRQIJOS128F42765C7,La Unión,Shaman
1984,TRIDDCT128F14940BA,Nik Kershaw,You Might
2006,TRGMKLT128F14A1CFE,Anne Dudley,Betrayal
1980,TRJFNXM128F145AFAE,Fehlfarben,Grauschleier
1996,TRUXOFS128F931C66F,Ray Bryant,Me And The Blues (Blues #1)
1983,TRKCLTR12903CE01EF,Suicidal Tendencies,Won't Fall In Love Today
1996,TRIATIU12903CB5235,Daryll-Ann,A Proper Line
1998,TRTUZPK128F934C704,Stem Tips,Obertura espacial
2008,TRQBSPU128F92DF8B0,Thomas Godoj,Love Is You
1997,TRXYGWY128F93314E9,Jim Chappell,Lovers Of The Flame
1973,TRYXDAI128F42608C1,Tony Orlando & Dawn,Daydream
2008,TRVTZZN128F933BD2B,Happoradio,12 apinaa
1994,TREPZZW12903CB6C36,Dritte Wahl,E.A.R.A.
1967,TRWMUVN128F426C0E7,Gene Clark,Couldn't Believe Her
2007,TRPNCFA12903CDE82B,Groove Coverage,Because I Love You
1990,TRTUCWG12903CB049E,Happy The Man,Such A Warm Breeze
1989,TRUJRQI128F148D801,Zucchero,Madre Dolcissima
2001,TRBOVFF12903D0FF75,Luka Bloom,Love is a Place I Dream of
1992,TREDZWB128F148F499,Siniestro Total,Todo Por La Napia
2007,TRFBZKN128F422BC31,Photo Atlas,Little Tiny Explosions
1972,TRHAODI128F424A381,Sammi Smith,Kentucky
1983,TRCVBEQ12903CF47FE,Heróis Do Mar,Volta P'ra Mim
2009,TRQGOQW128F9339213,La Hungara,No Me Mientas Mas
1964,TRTJGAN128E0783675,Lorez Alexandria,Get Me To The Church On Time
1988,TROFFMO128EF34403B,Afrika Bambaataa,Tell Me When You Need It Again (Vocal Mix 1)
2003,TRRUHYN12903CAE6C8,Dub Incorporation,My Freestyle
1994,TRDTMEM128F1480BB3,Soul Junk,Yes Bless You
1991,TRQXRVI128F426CFA7,Marty Robbins,Song Of The Bandit
1993,TROVQHW128F92CFE0E,His Name Is Alive,Sick
2003,TRQZBHI128F42BA522,The Twilight Singers,St. Gregory
2009,TRYUMIF128F93069F1,Fernanda Porto,Cidade Sem Fim
2009,TRPAMSW128F92F59C2,My Sad Captains,Great Expectations
2001,TRXURHX128F42947B1,Karl Denson,A Shorter Path #1
2003,TRQLNUI128F933790F,Elie Attieh,Inta Omri
1996,TRBVMVW128F930426D,Michael Card,Don't You Know
2008,TRKMJGA12903CD61E0,Silver Summit,Apple Tree
1988,TRRDSSX128F92F4DC8,Helloween,I Want Out
2001,TRAWYON128F930C5DC,Victor Manuelle,Te Voy A Encontrar
1998,TRHFBQQ12903CC485F,Trick Daddy,Run featuring Tre+6 (Edited Album Version)
